,Classical / Ambient,Country / Folk,Electronic / Dance,Hip-Hop / Rap,Jazz,Latin,Metal,Pop,R&B / Soul,Rock
Classical / Ambient,1051,71,56,3,9,56,11,55,16,72
Country / Folk,33,965,24,9,11,91,11,105,41,110
Electronic / Dance,149,158,3088,221,6,114,215,342,244,263
Hip-Hop / Rap,0,8,45,194,0,44,5,53,41,10
Jazz,13,26,6,1,117,10,1,9,14,3
Latin,52,198,60,158,14,1542,14,193,226,143
Metal,16,9,103,16,0,6,1148,39,29,234
Pop,381,626,674,248,56,464,226,1790,325,610
R&B / Soul,15,111,212,94,51,299,68,132,462,156
Rock,166,404,221,45,7,220,470,307,238,1322
