track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
07vontPkjk1Wmkar99vNxp,sourja,igloo,igloo,33,127801,False,0.718,0.353,2,-13.819,1,0.0304,0.288,0.897,0.1,0.219,126.006,4,Classical / Ambient
2BDClqY52XVPvFvZ39Vtts,Mike Rowland,Within The Light,Echoes Of Light,20,218440,False,0.163,0.0342,3,-28.945,1,0.0492,0.876,0.956,0.113,0.0498,86.837,4,Classical / Ambient
16f5nKCHNOL2NjBA45xIoH,Jim Brickman,Winter Chill,"Mary, Did You Know?",0,202630,False,0.39,0.091,2,-18.195,0,0.031,0.983,0.908,0.0769,0.0744,61.324,4,Classical / Ambient
2DCB7vBKleDUerpJErGyr2,Alexis Ffrench,Dreamland,Wishing,59,128915,False,0.509,0.126,3,-22.956,1,0.0359,0.995,0.942,0.121,0.34,72.702,3,Classical / Ambient
3vaSf5wHVxXN1EFhUOxH9C,Theishter,Again from Your Lie in April,Again from Your Lie in April,44,174000,False,0.435,0.157,6,-19.866,1,0.0384,0.993,0.913,0.124,0.0395,92.637,4,Classical / Ambient
1eJZGGcsqMhvtZaSOFQSJm,Alfredo Kraus,The Voice of Spain,Júrame,23,258359,False,0.275,0.217,4,-14.65,1,0.037,0.952,0.0,0.24,0.395,90.518,4,Classical / Ambient
2P7SL7HWtbIAlN7cAm5Rtm,Matt Large,The Quiet Life,From Sunrise to Sunset,9,194429,False,0.679,0.91,6,-8.655,1,0.0411,0.617,0.904,0.128,0.943,158.024,4,Classical / Ambient
65d60rtUV1Et53fnamtLLN,Jobii,Pizzazz,Quixotic,16,119000,False,0.654,0.668,4,-7.228,0,0.0364,0.427,0.887,0.108,0.315,174.061,3,Classical / Ambient
4yyYltMHYoVhOQAkBAc8bq,Dominic Mena,Tunnel,Tunnel,36,127384,False,0.592,0.258,2,-20.131,1,0.0351,0.875,0.882,0.117,0.165,130.03,4,Classical / Ambient
4xGBr91n9vWRweKI0hd3u2,Rain Sounds,Rainfall,Spa Rain,35,97219,False,0.0,0.00743,8,-19.901,1,0.0,1.46e-06,0.807,0.414,0.0,0.0,0,Classical / Ambient
4BMHp3DkI8VLsuB9Kr0pzu,Ludovico Einaudi;Robert Ziegler;Royal Philharmonic Orchestra,Divenire (Deluxe Edition),Primavera,62,442400,False,0.231,0.206,0,-13.593,0,0.0332,0.965,0.856,0.17,0.136,141.628,3,Classical / Ambient
4F6SOjwUmWsVF3jU1uYagm,Smartface,Shoelace,Shoelace,34,142647,False,0.766,0.709,6,-7.68,1,0.0528,0.0608,0.946,0.0879,0.733,154.033,4,Classical / Ambient
